key,value
absurdo,absurdo
abusiva,abusivo
abusivo,abusivo
acessibilidade,acessibilidade
acessivel,acessibilidade
acessa,acesso
acessar,acesso
acessava,acesso
acessei,acesso
acesso,acesso
acoes,ações
acordo,acordo
adicional,adicional
advogada,advogado
advogado,advogado
agencia,agência
alelo,Alelo
amortizacao,amortização
amortizado,amortização
amortizar,amortização
android,android
anuidade,anuidade
aparelho,aparelho
aplicativo,aplicativo
app,aplicativo
apolice,apólice
aporte,aporte
apple,Apple
atendida,atendimento
atendido,atendimento
atendimento,atendimento
atendente,atentende
atendentes,atentende
ativacao,ativação
ativar,ativação
atrasar,atraso
atrasei,atraso
atraso,atraso
atrasou,atraso
atualizacao,atualizaçao
atualizando,atualizaçao
atualizar,atualizaçao
atualizei,atualizaçao
update,atualizaçao
autoatendimento,autoatendimento
autorizacao,autorização
autorizado,autorização
autorizar,autorização
autorizei,autorização
autorizou,autorização
bacem,Bacen
bacen,Bacen
bc,Bacen
bcb,Bacen
banco,banco
bandeira,bandeira
biometria,biometria
bloqueada,bloqueio
bloqueado,bloqueio
bloqueia,bloqueio
bloqueio,bloqueio
bloqueou,bloqueio
bloquiei,bloqueio
boleto,boleto
boletos,boleto
bradesco,Bradesco
brasilprev,Brasilprev
bug,bugs
cabb,CABB
cadastramento,cadastramento
cadastrar,cadastramento
cadastrei,cadastramento
cadastrou,cadastramento
cadastro,cadastro
cef,Caixa
cancelada,cancelamento
cancelado,cancelamento
cancelamento,cancelamento
cancelar,cancelamento
cancelaram,cancelamento
cancelei,cancelamento
cancelou,cancelamento
cartao,cartão
cdb,CDB
cdi,CDI
celular,celular
central,central
chat,chat
cheque,cheque
cheques,cheque
cielo,Cielo
cobertura,cobertura
cobranca,cobrança
cobrancas,cobrança
cobrar,cobrança
cobraram,cobrança
cobrou,cobrança
compatilhar,compartilhar
compartilhar,compartilhar
compartilhei,compartilhar
compra,compra
comprovante,comprovante
comprovantes,comprovante
computador,computador
conectar,conexão
conexao,conexão
consignacao,consignado
consorcio,consórcio
consignado,consignado
conta,conta
contato,contato
contestacao,contestação
contestar,contestação
contestei,contestação
