key,value
caixa eletronico,TAA
terminal autoatendimento,TAA
banco central,bacen
muito facil,facilidade
extremamente facil,facilidade
uso exterior,uso exterior
uso exterior,uso exterior
conta facil,conta fácil
cta facil,conta fácil
cc facil,conta fácil
conta salario,conta salário
cc salario,conta salário
imposto renda,IR
segunda via,2ª via
2 via,2ª via
suporte tecnico,suporte técnico
modulo seguranca,modulo segurança
bb code,bb code
codigo barra,código barras
codigo barras,código barras
cartao virtual,cartão virtual
cartao credito,cartão crédito
credito celular,crédito celular
