categoria,review
-1,"mto dificil de ser utilizado, poderia ser mais prático como o da Caixa"
-1,"Já Foi bom, hoje está ruim. Você conseguia fazer pagamentos, cancelar agendamentos, consultar faturas. ATUALMENTE: ele fica caindo no meio das transações, fica procurando e não abre nada, simplemente ele fecha o aplicativo. E a cada atualização fica pior. Ainda mais quando vc ten que pagar algo que se vence naquele dia. Não sei se recomendo. Só tenho me estressado. :("
-1,Já uso há muito tempo e nunca me decepcionou.
-1,Simplesmente não é possível pagar nenhum tipo de boleto. SEMPRE da erro no aplicativo. SEMPRE. Até mesmo se vou pagar a fatura do próprio cartão do BB. Comodidade só pra visualizar o saldo
-1,Uma porcaria. Toda hora da erro o BB parou. Lixo!
-1,nossa só tem reclamações não sei se baxo esse App pq tá difícil! vê se melhoram isso por favor
-1,"Aplicativo está dando erro toda hora! Sempre que vou olhar no extrato ou qualquer outra coisa, o aplicativo trava."
-1,"Não consigo fazer a conta fácil, que mal isso !"
-1,Que atualização merda. Agora não entra mais. Pelo amor de Deus estou sem usa lo por causa dessa atualização inútil
-1,péssimo não consigo abrir a conta .
-1,"Não da pra acessar o cartão de credito se não tiver conta corrente, perde feio para o itaucard .. É uma porcaria esse APP do banco do Brasil"
-1,"App horrível para Android, todo bugado na hora de fazer transferências ou pagamentos. Não recomendo!"
-1,"Quando fizerem atualização, evitem a expressão: ""correções diversas"". Saco! Eu tenho o direito de saber o que está sendo corrigido... Ora bolas!"
-1,Nesta última atualização não estamos reconhecendo o cartão de forma alguma. Decepção total
-1,Esse BB code não está funcionando. Só dá erro!
-1,Download chega em certa porcentagem da erro corrijam que darei as 5 estrelas
-1,O aplicativo é sem dúvida muito útil. Porém após a última atualização não consigo mais realizar pagamentos com débito em conta pela internet. A página de pagamento simplesmente não abre #chateada
-1,Meu $$$ tá nessa bosta
-1,"O aplicativo ta horrível, trava toda hora!"
-1,O app vive dando problema quando chega em época de pagamento. Sempre da erro de DNS e não abre a conta. Decepcionante isso
-1,uma droga de aplicativo... nem para entrar na minha conta presta!
-1,"Pra quem tem dúvida, pode instalar sem medo. Depois que vc usa a primeira vez, nunca mais vive sem!!!!"
-1,"Horrível, toda hora diz q a senha é bloqueada. Aff!!!! --'"
-1,Não consigo fazer as transferências entre os mesmos bancos ex: conta salario para conta fácil. que chato!
-1,"Aplicativo muito bom. Dificilmente vou no Banco, a única coisa que ainda está complicado e na opção CÂMBIO."
-1,O antigo era bem melhor. Não consigo transferir da conta salário pra conta corrente. Tá bem ruim!
-1,Adorei evita perdas de tempo
-1,Nao consigo abrir a conta por causa de erro. Aplicativo me decepcionou
-1,Muita coisa dá erro e precisa ir no banco pra desbloquear. E eu preciso de não ter que ir ao banco.
-1,lixo. cagaram no app. o anterior era mais fácil e melhor.
-1,horrível essa nova versão
-1,Tá uma droga! A tempos não consigo usar!
-1,"Péssimo, pois desde sempre esta cheio de bugs, ao tentar criar uma conta é sempre dá a o erro de ""número diferente do cadastrado"" sendo que o número está correto. Antes quando eu tinha uma outra conta era um trabalho enorme pra fazer login. Sinceramente se é pra fazer um aplicativo para um banco, que seja feito direito e dá melhor maneira para o cliente, coisa que este aplicativo não tem."
-1,"App muito ruim, tem muito a ser aperfeiçoado. Desisto!"
-1,Pior App desinstalei sem querer e não consigo instalar denovo .pra mim pessimo
-1,Ñ gostei muito difícil
-1,muito ruim não tô conseguindo acessar a poupança lixo😡😡😡😡
-1,Horrivel!!!! Essa nova versao es%á pessima! super pesado! nao.consigo ver meu saldo da minha conta salario! A bersao anterior é melhor. Consertem isso !
-1,Essa bosta não tem o BB code. Já tentei tudo .
-1,Complica as facilidades.as dificuldades so pioram.
-1,"O aplicativo trava muito no meu aparelho, Moto G 5. Demora para carregar as páginas e às vezes para de funcionar e fecha. Muito chato!"
-1,"Só dá erro e não instala, péssimo"
-1,"Burocrático, pouco amigável, infinitamente mal desenvolvido em comparação com apps de bancos privados."
-1,Este esta bom mas o financeiro também muito ruim ano da pra obter informações precisas
-1,"Sempre gostei muito do app atende minhas necessidades muito bem. Porém, ao tentar um financiamento pelo celular, deu um erro no sistema é vou perder a negociação. Por favor melhorem isso. A gente tem que passar vergonha por coisas bestas que não deveriam acontecer."
-1,Muito útil e prático porque pago minhas contas em casa sem precisar ir ao banco no horário comercial
-1,"Não consigo pagar um simples boleto pq dá ""sem comunicação"". Lamentável."
-1,"Péssimo ... Não consigo fazer nada, nesta bosta de aplicativo"
-1,"Aplicativo péssimo além de drenar a bateria do celular, não abre a bosta da conta!!!! Não acha seu CEP e pede pra Vc colocar o numero da ag e da conta, como Vc vai fazer isso se Vc está TENTANDO ABRIR A CONTA?!??!?!"
-1,"Já que os usuários...terão acesso as versões anteriores, pergunto se posso abri-las para consultar páginas de outras versões e escolher uma menos ruim, pois detesto a atual (horrível)."
-1,Achei que era bom mais não consigo abrir minha conta pois smp aparece erro nos dados informados e ninguém resolve isso
-1,Abaixei gostei mas hj ta uma bosta! Qdo vou consultar so aparece a msg assim: servidor a resolve DNS. ? Nao consigo acessar minha conta!
-1,"Desde a última atualização, tenho tido dificuldades para realizar consultas. O App fecha sem avisar, obrigando a conectar, novamente e por várias vezes. Sempre gostei muito, mas..... nos últimos tempos esta deixando a desejar! Por favor, verifiquem esse problema."
-1,Em 11 meses fui no banco 1 vez em horário comercial. No maximo vou sacar dinheiro e olha lá. O restante faço tudo pelo app. Não vivo sem!
-1,Não emite o boleto da fatura... Lamentável...
-1,ficou muiti ruim horrível
-1,"Infelizmente não há a opção zero. Que aplicativo ruim! Não importa o que eu faça, se clico em voltar para tela anterior ele sai, é irritante! Não consigo compartilhar comprovantes, não consigo fazer uma transação completa porque fica saindo. A versão anterior era muito boa, esse está péssimo, péssimo e péssimo!"
-1,"com a atualização o aplicativo pelo menos no Android esta muito ruim, o teclado demora de aparecer, o app é para agilizar portanto nao está cumprindo seu objetivo. ja foi bom, esta bonitinho mas bem ordinário. #prontofalei"
-1,"o aplicativo não é ruim, ajuda bastante a ter controle. Mas eu estou tentando aumentar o valor de depósito e não consigo, sempre dá documentos inválidos."
-1,por favor corrige esse app ta horrivel nao consigo finalizar nada trava e volta pro inicio
-1,"Infelizmente não atende as minhas necessidades. Queria praticidade, evitar pegar filas em banco e enfim.. Mas não quer abrir mais em meu celular, abriu uma vez e virou gaspar!"
-1,A plataforma anterior era muito melhor e mais fácil visualização! Ficou muito ruim esse novo modelo disponibilizado!
-1,"Essa versão atual tá muito ruim, lento demais"
-1,"detestei as letras ficaram pequenas demais, e muito chato pra usar. aff"
