categoria,review
1,Muito eficiente; excelente ferramenta. Top.
1,"Mt bom adorei, mt pratico, rápido e fácil"
1,Muito bom! Seguro e fácil!
1,e bom mas trava muito podia melhorar nessse quisito
1,Praticidade e comodidade. Recomendo!!
1,Excelente! Facilita a minha vida!
1,Super prático de usar !! E muito bom adorei nao foi mais estrela pq não tem parabéns pra quem criou este aplicativo simplesmente adoreiiiii
1,Prático e eficiente. Aprovado.
1,"Ótimo, muito eficaz para assuntos que podemos resolver com muita comodidade."
1,Ótimo! Adorei facilitou muito minha vida 👏👏👏👏
1,Abrir a conta foi muito rapido e facil! adorei!
1,Rápido e prático!.
1,"Rapido, pratico, simples! Tenho o BB na palma da mão"
1,Uso muito pra mim é muito bom ...
1,Facilita muito a vida do cliente sem prejuízo da segurança das transações. Estou muito satisfeito!
1,Muito bom! Tá um pouco lento depois da atualização.
1,"Excelente, completo e incúria distâncias!"
1,"Muito prático, recomendo esse App!!"
1,olha o app e excelente funciona liso o tempo todo sem travas nem bugs Parabéns !!!
1,"O aplicativo é funcional, opera muito bem. Parabéns"
1,"Muito bom! Adianta meu tempo, não pego fila mais!!!"
1,Ótimo! Rápido e seguro!
1,"Rápido, seguro e prático."
1,Bem prático e parece seguro.
1,"Aplicativo muito bom, simples e objetivo!"
1,"Muito o app e sou correntista e fácil e tive um apoio no 0800 muito bom, parabens toda equipe BB"
1,E mais uma facilidade para o cliente
1,"Clean, objetivo, intuitivo. Parabens"
1,adorei poder encerrar on-line
1,Muito bom resolvo tudo que preciso aqui mesmo.
1,"Prático, fácil."
1,Rápido e eficiente. Perfeito para quem tem pouco tempo como eu e não tem tempo de ir a uma agência.
1,"Muito bom, eu recomendo 👍"
1,Muito bom e eficaz!!
1,O APP é uma forma prática acessível rápida e direta. Excelente.
1,"Muito bom, ajuda bastante no dia dia"
1,Prático e intuitivo e com um bom buscador
1,Um dos melhores aplicativos que já instalei. Vocês estão de parabéns.
1,"App mto bom, mto prático e fácil de usar"
1,Resolve o que preciso....muito bom
1,"Boa qualidade , me deixa sempre satisfeito quando preciso."
1,"O Banco do Brasil está de parabéns com esse Apricativo, muito útil, fazemos todas as Transações, Aprovo e Recomendo..."
1,Serviços rápidos e super prático !!!
1,"Muito bom, atendeu as minhas necessidades."
1,Muita bom atende às necessidades satisfatoriamente
1,"Perfeito Nem ando mais em banco, tudo de bom esse aplicativo. Parabéns!"
1,"Não gostei muito , só mais a versão antiga , mais fácil de manusear."
1,"Aplicativo perfeito, faço tudo por aqui,só vou ao banco qndo preciso fazer saques.Ótimo super recomendo."
1,Muito bom app continue assim!
1,Muito pratico e rápido. Sensacional.
1,"Comecei a usar agora, parece ser bom. Depois avalio mais se me satisfazer."
1,Muito prático! Não vou mais ao banco
1,"Muito bom, tem funcionado muito bem."
1,nao gostei muito conplicado o outro eras mais pratico
1,"Bom aplicativo, rápido, seguro e confiável. Consome poucos dados da internet."
1,Rapidinho e pratico valeu
1,"Gostei!!! até agora sem problemas facilitou muitoo pra mim, sempre enfrentava filas em agências mais depois do App ficou otimooo. Parabéns"
1,Excelente prático e fácil de uzar
1,"Rápido, fácil e prático 😍"
1,Muito bom para quem usa muito o banco do Brasil!
1,Agilidade muito bom! Nota 10
1,"Muito prático, mudou minha vida ."
1,App muito bom me ajuda e muito
1,Perfeito controlo tudo por aqui.
1,Satisfeito com o serviço prestado por este banco.
1,um app muito bom.
1,"O aplicativo BB trás a eficiência de fazermos procedimentos rápidos e práticos do nosso dia a dia. Transferências e pagamentos, otimizaram meu tempo. O desafio e melhorar cada vez mais."
1,"Pratico, leve e realiza todas as operacoes do banco.p"
1,"Recomendo, muito bom! Um excelente aplicativo"
1,Bom mais pode melhorar sempre mais
1,"Muito bom!! Carregamento rapido, facil de usar. Muito bom mesmo."
1,"Muito bom, eficiência e segurança!"
1,Excelente App. Cumpre com sua função perfeitamente e é super intuitivo.
1,Muito bom descomplicado e seguro faço qse tudo por aqui
1,Top Top! #Recomendo
1,Muito prático. Excelente e atende as minhas necessidades.
1,"Excelente aplicativo, só me falta dinheiro!😅"
1,Pra mim que tenho um bebê é muito prático e confortável fazer meu movimento bancário pelo aplicativo gostei muito facilitou minha vida
1,Muito bom este aplicativo. Rápido e simples.
1,"Prático, objetivo e tem também evoluído bastante. Parabéns..."
1,Muito bom fácil de trabalhar com o banco Mais tem muita burocracia
1,Muito prático e fácil de usar...
1,Muito bom esse aplicativo . Ótimo aplicativo .
1,Muito bom. Melhor que o do Bradesco
1,App muito prático e fácil de usar
1,"Muito prático, me ajuda muito no dia a dia!"
1,"Muuuito bom o App, facilitou muito a minha vida"
1,"Muito bom, faz tudo!"
1,"Útil, prático e eficiente!"
1,"É um excelente aplicativo, no meu dia a dia ajuda muito."
1,Muito bom e seguro !
1,"Ótimo para minha consulta, não preciso ficar indo ao banco direto muito bom o aplicativo."
1,Ótimo aplicativo! Estão de parabéns!
1,"App nota mil amei, muito eficiente. .."
1,Muito bom! Não não dou nota máxima porque sempre pode melhorar
1,"o melhor, feito por gente grande, parabéns desenvolvedores"
1,Muito bom prático e rápido. Show de bola
1,"E um aplicativo muito bom, adoro esse aplicativo. Otimo"
1,Muito bom útil pra mim
1,É pratico e vc ecomiza tempo
1,"Facilitou muito minha vida. Super indico,quem quer praticidade é aqui."
1,Atende as necessidades perfeitamente.
1,Parabéns ao BB por facilitar a vida de seus clientes.
1,parabéns ao BB pela comodidade de estar sempre por perto.
1,Excelente aplicativo.. muito útil..
1,Excelente App. Prático e rápido.
1,Muito bom o app eu recomendo para todos os usuários do BB
1,"Bom, prático e fácil Daria mais estrelas mas por enquanto só isso msm"
1,"Cumpre o que promete, nao é perfeito mas é bom"
1,aplicativo perfeito! muito bom!
